,Old,New,difference,ratio
253,157712.96907031248,115870.7558876953,41842.21318261718,1.3611110746802382
254,153408.01153320313,115838.70573730468,37569.30579589844,1.324324288300466
255,163735.51472558593,123637.02191699219,40098.49280859374,1.3243243179661444
256,222764.73425390624,254588.2692802734,-31823.53502636717,0.8749999946331659
257,235025.28395214843,187060.94176367187,47964.342188476556,1.256410246501771
258,289340.48183105467,236196.31393652345,53144.167894531216,1.2249999883944567
259,279524.2508330078,233887.64092285157,45636.60991015623,1.1951219385944791
260,468690.1554091797,401734.4234355469,66955.73197363276,1.1666666535594377
261,1438360.0205322264,1262234.3188925781,176125.7016396483,1.1395348700344103
262,378997.0754863281,348058.5431552734,30938.53233105468,1.0888888749880579
263,236552.22249609375,217241.8401064453,19310.38238964844,1.0888888732492168
264,251683.23331542965,256819.62969726566,-5136.396381836006,0.9799999852507743
265,209561.81473632812,196731.5021875,12830.312548828108,1.065217377014688
266,198677.52482714845,186513.59730273436,12163.927524414088,1.0652173766434334
267,195296.38745507813,171382.54637304688,23913.841082031257,1.139534868562276
268,255570.42214746095,224276.08785839844,31294.334289062506,1.139534867884894
269,199910.6757294922,183591.44001953123,16319.23570996098,1.088888870353786
270,260225.94621777345,223050.81554394533,37175.13067382813,1.1666666431286996
271,272528.8552158203,233596.16693652346,38932.68827929685,1.1666666400817967
272,410413.5232109375,351783.029125,58630.494085937506,1.1666666360562385
273,322476.87576562504,361963.85008789063,-39486.974322265596,0.890909066436669
274,320126.1794941406,352792.12661718746,-32665.947123046848,0.9074073805550302
275,763574.5826757812,763574.6035742187,-0.020898437476716936,0.999999972630785
276,361037.76935546874,338933.425390625,22104.34396484372,1.065217362198397
277,1881539.7445683596,1727944.7045205075,153595.0400478521,1.0888888629630504
278,517809.8486826172,422701.9279785156,95107.92070410156,1.2249999690300337
279,353030.13064746093,280983.171359375,72046.95928808593,1.2564102289098962
280,385577.9125957031,299019.61241406255,86558.30018164054,1.2894736551988448
281,346182.8128320313,275533.2626933594,70649.55013867188,1.2564102404481656
282,329293.2394394531,262090.54060449215,67202.69883496096,1.2564102415904175
283,289480.536975586,230402.87533203125,59077.66164355472,1.2564102620612634
284,274379.3598505859,229582.72807031253,44796.6317802734,1.1951219595515647
285,293073.0225400391,257186.52698242187,35886.49555761722,1.1395348970207526
286,273542.377772461,238558.7225439453,34983.65522851568,1.1466458859917448
287,505996.1103232422,438529.95235253905,67466.15797070315,1.1538461799673523
288,420799.3504804687,362402.69574023434,58396.65474023437,1.1611374733870423
289,1356927.4513652343,1161234.4747753905,195692.97658984386,1.1685215009033343
290,418149.323024414,355569.139140625,62580.183883788995,1.1760000432968931
291,420741.3370742188,355483.4817480469,65257.855326171906,1.183574930135359
292,394832.08164648444,331444.0570439453,63388.02460253914,1.191248034941036
293,622005.5564921874,518761.06499023444,103244.49150195299,1.1990212806427494
294,384163.27817871096,318306.6930966797,65856.58508203126,1.2068966393428258
295,358918.04827539064,295435.9183603516,63482.129915039055,1.2148761405429658
